"Exclusion";"ExclusionType";"Description";"Justification"
%SystemRoot%\SYSVOL";"Folder";"";""
%SystemRoot%\SYSVOL";"Folder";"";""
%SystemRoot%\SYSVOL";"Folder";"";""
%SystemRoot%\SYSVOL";"Folder";"";""
%SystemRoot%\NTDS\Ntds.dit";"File";"Main NTDS database files";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\DSA Database File"
%SystemRoot%\NTDS\Ntds.pat";"File";"Main NTDS database files";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\DSA Database File"
%SystemRoot%\NTDS\EDB*.log";"File";"Active Directory transaction log files";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\Database Log Files Path"
%SystemRoot%\NTDS\Res*.log";"File";"Active Directory transaction log files";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\Database Log Files Path"
%SystemRoot%\NTDS\Edb*.jrs";"File";"Active Directory transaction log files";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\Database Log Files Path"
%SystemRoot%\NTDS\Ntds.pat";"File";"Active Directory transaction log files";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\Database Log Files Path"
%SystemRoot%\NTDS\Temp.edb";"File";"NTDS Working folder";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\DSA Working Directory"
%SystemRoot%\NTDS\Edb.chk";"File";"NTDS Working folder";"The location of these files is specified in the following registry subkey: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\DSA Working Directory"
"%systemroot%\System32\DHCP";"File/Folder";"";"Optionally only allow *.mdb, *.pat, *.log, *.chk, *.edb in (sub) folders"
"%systemroot%\System32\DNS";"File/Folder";"";"Optionally only allow *.log, *.dns, BOOT in (sub) folders"